Title, Coverage Text Only
40,
Cold Skin,"LOGLINE:
A man heads to a deserted island to serve as watchman, but finds no trace of the man he was meant to replace.
 

COMMENTS:
I think good for Middle East; interesting for popcorn.  Others, wait and see.  The story is completely crazy – these sea creatures attack and attack and attack; and the script does an interesting job contrasting the slow descent into madness experienced by FRIEND with the crashing interruption of brutal fight after brutal fight.  How mad would you go if your life was threatened every night?  Interesting project, pending cast info. Director of 30 Days of Night.  It’s a weird project in terms of the fact that its not standard horror; not really arthouse, a bit in between.

SUMMARY:
INTRO –  1924. South Atlantic Ocean  - A Portuguese shipping vessel crashes on reefs by a small island. A mysterious man watches from a lighthouse as the sailors are devoured alive by something ominous in the depths. 

FRIEND, a naval weather officer, is ferried by vessel to the same, small, abandoned island.  He meets GUNNER, a huge, beast of a man who shows no hospitality at all, even after FRIEND explains that he is there to replace the previous weather officer, whom GUNNER explains died of Typhus.

His first night on the island, FRIEND stays in the small officer’s cabin, but his sleep is disrupted by the vicious attacks of mysterious, manlike, reptilian sea creatures.  Fighting with any means at his disposal (a log from the fire, a burning poker) he barely survives. 

He turns to GUNNER for help, hoping to stay the next night (the beasts attack only at night) inside GUNNER’s fortified Lighthouse, but GUNNER refuses him entry, opening fire at FRIEND.  

FRIEND eventually catches GUNNER outside, and gets the jump on him, holding GUNNER’s reptilian companian TOAD, hostage and forcing GUNNER to let him come into the lighthouse.  TOAD is one of the sea creatures, but she is a mysterious one, she keens nightly for her friends, is she beckoning them to attack?  FRIEND is shocked to find that TOAD and GUNNER are lovers;

GUNNER trains FRIEND in the ways of attacking and killing the sea creatures, and before long, the nerdy, bookish FRIEND becomes quite adept.  He also assimilates other behaviours of GUNNER’s, including, most troublingly; sleeping with TOAD as well.  

FRIEND and GUNNER find a stash of dynamite under the sunken remains of the Portuguese ship and wind up destroying hundreds of the sea creatures.  GUNNER goes mad during the attack and winds up getting killed. 

FRIEND seems to lose his mind as well, and by the time his replacement arrives on the island, he looks exactly the way GUNNER did when FRIEND himself arrived. 

"
"Dancer and the Thief, The ",
Dancing Arabs,"LOGLINE:
 A young arab boy struggles with racial prejudice and winds up assuming the identity of an Israeli friend. 

COMMENTS:
Script has a very rich setting, strongly written characters, particularly SA’ED and DARWISH, and is propelled by very real emotion and some moving subject matter.  Strong director and interesting project for the most part; however,  the script, for me, felt a bit lacking.  The structure is quite odd; ostensibly the story much less about SA’ED’s relationship with JONATHAN (that eventually leads to his revelation that he’d be better off as a jew than as an arab) than it is a memoir of SA’Eds that spends far more time on a seemingly whimsical riddle than on any other topic. The riddle, which felt very much like a small character building plot point that could have been as powerfully dealt with in a five or ten page sequence, devours nearly half of the film, while SA’ED’s enormously difficult time in the Israeli school, his love story with NAOMI, and his relationship with JONATHAN are squeezed into the remaining space.  Very poor structurally in my opinion.  Worth reading as it has a lot of merit in some regards, but perhaps another draft is the best place to start. 

SUMMARY:
SA’ED, a young arab man in his early 20s, uses the identity of JONATHAN FORSCHMIDT, an Israeli, in order to secure a spot in an exclusive medical school in Jerusalem.  The real Jonathan lies sick in a hospital bed, nearly dead. 

FLASHBACK – Ten years earlier, SAED lives in a small Arab town called TIRAH.  His father DARWISH enlists his help adjusting the antennae on their roof so they can watch Arabic TV but SA’ED falls off the roof and gets badly injured. 

The local TV studio advertises a contest;  the local school teacher JAMAL announces a riddle and challenges the villagers to solve it. JAMAL and DARWISH had been childhood friends and their rivalry continues to this day… “he couldn’t spell his own name until the ninth grade, the low life collaborator,” Darwish accuses. DARWISH had been a radical in his youth, and views JAMAL as a traitor. 

SAED’s grandmother KAMLA tells SAED that JAMAL had betrayed DARWISH to the government, snitching on him for being a protester, which led to Darwish getting kicked out of university and imprisoned, while JAMAL wound up being rewarded by being made a professor, despite his ignorance. 

Meanwhile, the village is stirring with people trying and failing to solve JAMAL’s riddle. At school, the children participate in a peace program that brings Jewish children to the town.  SAED brings one to his house, and the two play innocently until SAED gets the boy to translate a Hebrew newspaper article that mentions DARWISH.  The boy tells him that the article calls Darwish a terrorist.  The boy is terrified and leaves quickly, but SAED seems thrilled. “My dad is a terrorist!” 

DARWISH is selected by his radical political party to solve the riddle. They fear that JAMAL will use the credibility of the unsolved riddle for political gain, and are determined to thwart him, but the group is running out of time.  In mere days, JAMAL will reveal the answer to the riddle at a public ceremony. 

DARWISH is troubled and cannot crack the riddle.  Frustrated, and with time running out, he sends SAED to the store for cigarettes. SAED realizes the answer to the riddle is PARLIAMENT; a play on the cigarettes and the governmental body and rushes to tell his father. DARWISH manages to reveal the correct answer and embarrass JAMAL publicly.  DARWISH lauds his son; admitting it was SAED who cracked the riddle.  DARWISH is immensely proud. 

DARWIS H sends SAED to Jerusalem to attend a Hebrew school.  SAED doesn’t want to go, and DARWISH is heartbroken as well, but its such a good school that he demands SAED stay.  The first weeks are tremendously hard; SAED is homesick, he gets made fun of for his background and his accent, and SAED even tries to return home with all of his luggage, but eventually SAED starts to fit in.

SAED meets and befriends JONATHAN FORSCHMIDT, the sickly Israeli boy, and the two get along well, despite their cultural differences. 

PRESENT DAY – SAED gets a photo ID saying that he is JONATHAN. 

FLASHBACK  - SAED, 17, falls for a young Israeli girl NAOMI.  Saed has become more and more like his Israeli friends, but his background is never forgotten.  When a group of arab boys starts picking on Naomi, Sae’d is forced to side with his new jewish friends.  SAED and NAOMI share a brief romance that is interrupted by the GULF WAR; students are sent home when the scud missiles start detonating in the region. 

When SAED returns, he is forbidden from seeing NAOMI. She gets a new boyfriend and belittles her relationship with Saed.  “It was just a kiss and a half.”  SAED is heartbroken, and his pain boils over; at a school dance he attacks her new boyfriend and gets expelled.  

SAED returns home, disappearing from his friends in Jerusalem.  While he is gone, JONATHAN’s condition worsens.  Eventually, SAED returns and starts a new life but finds that as an adult, life as an arab in Jerusalem is nearly impossible.  He takes JONATHAN’s ID and gets a better job and gets into medical school.  Jonathan’s mother knows that SAED is doing it, and allows it; as if SAED is living JONATHAN’s life.  JONATHAN dies, and SAED assumes his identity, as if SAED was the one being buried. 





"
ExTerminators,
"happets, the",
insolent frames,
Locked In,
malice in wonderland,
"miffy, the movie",
