Title,Film Fest,Festival Program,All Pass,Status,Screenings,Tracking,Sub Date,Sales Company,Active,Submitted By,Submitted To,Film List,Type,Genre,Director,Budget,Writer,Read By,Producer,Last Updated,Cast,Script,Print Coverage,Format Submitted,Log Line,Notes,,Screening,Priority I,Festival Wrap Up,Priority II,Bought By, Coverage Text Only,Insert Script File Here,Insert Coverage File Here
40,Cannes 2010,,Not All Pass,Completed,,Not Tracking,05/02/2010,6 Sales,,,,Not Film List,,Drama,Emre Sahin,,,,,05/02/2010,"Ntare Guma, Mbaho Mwine, Ali Atay, Deniz Cakir",,No Print Coverage,,"40 revolves around the bizarre events that unfold on the streets of Istanbul during one strange and stormy week in November. Metin, Godwill and Sevda are just 3 people in a city of 12 million – yet, like a magnetic force, something more powerful has taken hold, inextricably linking their fates and causing us to question the sacrosanctity of numbers, faith, destiny and just plain luck.",,,"Invitation Only!
Fri 14th - 12:00am@Palais K,
Mon 17th - 13:30@Gray 2",,,,,,,
Cold Skin,Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,,6 Sales,,,,Not Film List,,Psychological Horror,David Slade,$25 Mil.,Tim Wise,Steve Murphy,"Denise O'Dell, Mark Albela",04/21/2010,,,Print Coverage,,"On the edge of the Antarctic Circle, a steamship approaches adesolate island. On board is a young man, poised to take the postof weather observer, to live in solitude at the end of the earth. But on shore he finds no trace of the man whom he has been sent to replace, just a deranged castaway who has witnessed a horror he refuses to name. For the next twelve months his entire worldwill consist of a deserted cabin, trees, rocks, silence and thesurrounding sea. Then night begins to fall…",,,,,,,,"LOGLINE:
A man heads to a deserted island to serve as watchman, but finds no trace of the man he was meant to replace.
 

COMMENTS:
I think good for Middle East; interesting for popcorn.  Others, wait and see.  The story is completely crazy – these sea creatures attack and attack and attack; and the script does an interesting job contrasting the slow descent into madness experienced by FRIEND with the crashing interruption of brutal fight after brutal fight.  How mad would you go if your life was threatened every night?  Interesting project, pending cast info. Director of 30 Days of Night.  It’s a weird project in terms of the fact that its not standard horror; not really arthouse, a bit in between.

SUMMARY:
INTRO –  1924. South Atlantic Ocean  - A Portuguese shipping vessel crashes on reefs by a small island. A mysterious man watches from a lighthouse as the sailors are devoured alive by something ominous in the depths. 

FRIEND, a naval weather officer, is ferried by vessel to the same, small, abandoned island.  He meets GUNNER, a huge, beast of a man who shows no hospitality at all, even after FRIEND explains that he is there to replace the previous weather officer, whom GUNNER explains died of Typhus.

His first night on the island, FRIEND stays in the small officer’s cabin, but his sleep is disrupted by the vicious attacks of mysterious, manlike, reptilian sea creatures.  Fighting with any means at his disposal (a log from the fire, a burning poker) he barely survives. 

He turns to GUNNER for help, hoping to stay the next night (the beasts attack only at night) inside GUNNER’s fortified Lighthouse, but GUNNER refuses him entry, opening fire at FRIEND.  

FRIEND eventually catches GUNNER outside, and gets the jump on him, holding GUNNER’s reptilian companian TOAD, hostage and forcing GUNNER to let him come into the lighthouse.  TOAD is one of the sea creatures, but she is a mysterious one, she keens nightly for her friends, is she beckoning them to attack?  FRIEND is shocked to find that TOAD and GUNNER are lovers;

GUNNER trains FRIEND in the ways of attacking and killing the sea creatures, and before long, the nerdy, bookish FRIEND becomes quite adept.  He also assimilates other behaviours of GUNNER’s, including, most troublingly; sleeping with TOAD as well.  

FRIEND and GUNNER find a stash of dynamite under the sunken remains of the Portuguese ship and wind up destroying hundreds of the sea creatures.  GUNNER goes mad during the attack and winds up getting killed. 

FRIEND seems to lose his mind as well, and by the time his replacement arrives on the island, he looks exactly the way GUNNER did when FRIEND himself arrived. 

",,coldskin.doc
"Dancer and the Thief, The ",Cannes 2010,,Not All Pass,Completed,,Not Tracking,,6 Sales,,,,Not Film List,,Tragicomedy,Fernando Trueba,,"Jonas Trueba, Fernando Trueba",,Cristina Huete,04/21/2010,"Ricardo Darin, Abel Ayala, Miranda Bodenhofer, Ariadna Gil",,No Print Coverage,,"Legendary bank robber Vergara Gray is getting out of prison after 5 long years and is looking forward to a quiet, uneventful life together with his wife and son. But soon his resolve is tested when he meets 19 year old Angel, a young thief who insists the two join up to score the biggest heist of all time.",AKA title Victoria's Dance. ,,,,,,,,,
Dancing Arabs,Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,,6 Sales,,,,Not Film List,,Drama Adaptation,Katia Lnd,$5 Mil.,Sayed Kashua,Steve Murphy,,04/21/2010,,,Print Coverage,,Sayed is born in Tira a small Arab town near Tel Aviv. When his good grades take him to a Hebrew boarding school in Jerusalem he starts seeing the advantages of being Israeli and not Arab. The possibility of getting a well paid job makes him assume the identity of his good Israeli friend Jonathan. A sick boy who can’t leave his home. A poignant and painful picture of today’s situation in Israel where the absurd becomes real for the only reason of having been born on the wrong side of the street.  ,,,,,,,,"LOGLINE:
 A young arab boy struggles with racial prejudice and winds up assuming the identity of an Israeli friend. 

COMMENTS:
Script has a very rich setting, strongly written characters, particularly SA’ED and DARWISH, and is propelled by very real emotion and some moving subject matter.  Strong director and interesting project for the most part; however,  the script, for me, felt a bit lacking.  The structure is quite odd; ostensibly the story much less about SA’ED’s relationship with JONATHAN (that eventually leads to his revelation that he’d be better off as a jew than as an arab) than it is a memoir of SA’Eds that spends far more time on a seemingly whimsical riddle than on any other topic. The riddle, which felt very much like a small character building plot point that could have been as powerfully dealt with in a five or ten page sequence, devours nearly half of the film, while SA’ED’s enormously difficult time in the Israeli school, his love story with NAOMI, and his relationship with JONATHAN are squeezed into the remaining space.  Very poor structurally in my opinion.  Worth reading as it has a lot of merit in some regards, but perhaps another draft is the best place to start. 

SUMMARY:
SA’ED, a young arab man in his early 20s, uses the identity of JONATHAN FORSCHMIDT, an Israeli, in order to secure a spot in an exclusive medical school in Jerusalem.  The real Jonathan lies sick in a hospital bed, nearly dead. 

FLASHBACK – Ten years earlier, SAED lives in a small Arab town called TIRAH.  His father DARWISH enlists his help adjusting the antennae on their roof so they can watch Arabic TV but SA’ED falls off the roof and gets badly injured. 

The local TV studio advertises a contest;  the local school teacher JAMAL announces a riddle and challenges the villagers to solve it. JAMAL and DARWISH had been childhood friends and their rivalry continues to this day… “he couldn’t spell his own name until the ninth grade, the low life collaborator,” Darwish accuses. DARWISH had been a radical in his youth, and views JAMAL as a traitor. 

SAED’s grandmother KAMLA tells SAED that JAMAL had betrayed DARWISH to the government, snitching on him for being a protester, which led to Darwish getting kicked out of university and imprisoned, while JAMAL wound up being rewarded by being made a professor, despite his ignorance. 

Meanwhile, the village is stirring with people trying and failing to solve JAMAL’s riddle. At school, the children participate in a peace program that brings Jewish children to the town.  SAED brings one to his house, and the two play innocently until SAED gets the boy to translate a Hebrew newspaper article that mentions DARWISH.  The boy tells him that the article calls Darwish a terrorist.  The boy is terrified and leaves quickly, but SAED seems thrilled. “My dad is a terrorist!” 

DARWISH is selected by his radical political party to solve the riddle. They fear that JAMAL will use the credibility of the unsolved riddle for political gain, and are determined to thwart him, but the group is running out of time.  In mere days, JAMAL will reveal the answer to the riddle at a public ceremony. 

DARWISH is troubled and cannot crack the riddle.  Frustrated, and with time running out, he sends SAED to the store for cigarettes. SAED realizes the answer to the riddle is PARLIAMENT; a play on the cigarettes and the governmental body and rushes to tell his father. DARWISH manages to reveal the correct answer and embarrass JAMAL publicly.  DARWISH lauds his son; admitting it was SAED who cracked the riddle.  DARWISH is immensely proud. 

DARWIS H sends SAED to Jerusalem to attend a Hebrew school.  SAED doesn’t want to go, and DARWISH is heartbroken as well, but its such a good school that he demands SAED stay.  The first weeks are tremendously hard; SAED is homesick, he gets made fun of for his background and his accent, and SAED even tries to return home with all of his luggage, but eventually SAED starts to fit in.

SAED meets and befriends JONATHAN FORSCHMIDT, the sickly Israeli boy, and the two get along well, despite their cultural differences. 

PRESENT DAY – SAED gets a photo ID saying that he is JONATHAN. 

FLASHBACK  - SAED, 17, falls for a young Israeli girl NAOMI.  Saed has become more and more like his Israeli friends, but his background is never forgotten.  When a group of arab boys starts picking on Naomi, Sae’d is forced to side with his new jewish friends.  SAED and NAOMI share a brief romance that is interrupted by the GULF WAR; students are sent home when the scud missiles start detonating in the region. 

When SAED returns, he is forbidden from seeing NAOMI. She gets a new boyfriend and belittles her relationship with Saed.  “It was just a kiss and a half.”  SAED is heartbroken, and his pain boils over; at a school dance he attacks her new boyfriend and gets expelled.  

SAED returns home, disappearing from his friends in Jerusalem.  While he is gone, JONATHAN’s condition worsens.  Eventually, SAED returns and starts a new life but finds that as an adult, life as an arab in Jerusalem is nearly impossible.  He takes JONATHAN’s ID and gets a better job and gets into medical school.  Jonathan’s mother knows that SAED is doing it, and allows it; as if SAED is living JONATHAN’s life.  JONATHAN dies, and SAED assumes his identity, as if SAED was the one being buried. 





",,dancingarabs.doc
ExTerminators,,,Not All Pass,Completed,,Not Tracking,,6 Sales,,,,Not Film List,,Comedy,John Inwood,,Suzanne Weinert,,,,"Heather Graham, Jennifer Coolidge, Amber Heard",,No Print Coverage,,Three women start an exterminator business.,,,,,,,,,,
"happets, the",Cannes 2010,,Not All Pass,Post-Production,,Not Tracking,,6 Sales,,,,Not Film List,,3D Family Animation,Alex Colls,,,,,04/21/2010,,,No Print Coverage,,"Little cow Mumu will through an adventure filled with action, suspense and fun. Her enormous desire to become a star leads her to an unbelievable situation, where she is freed thanks to the teamwork and genius of the friends that she had abandoned for not having the glamour that she seeked.",Promo available in Cannes 2010.,,,,,,,,,
insolent frames,Cannes 2010,,Not All Pass,Production,,Not Tracking,,6 Sales,,,,Not Film List,,Documentary ,Chema de la Pena,,,,,04/21/2010,,,No Print Coverage,,In 1968 Pedro arrives in Madrid. In 1980 he releases his first film. Discover the underground world of an artist with short interviews and footage that has never been seen and that Almodovar has agreed to show for the first time ever.,Promo Available in Cannes.,,,,,,,,,
Locked In,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,6 Sales,,,,Not Film List,,Psychological Thriller,Suri Krishnamma,$9 Mil.,Ronnie Christensen,,Michael Bassick,04/20/2010,"Ben Barnes, Sarah Roemer, Brenda Fricker, Eliza Dushku",,No Print Coverage,,"After a devastating car accident leaves a young girl comatose, the girl’s father tries to understand how the accident occurred and faces his personal demons.",,,"Thurs 13th - 16:00@Gray 1,
Sat 15th - 10:00@Gray1,
Sun 16th - 13:30@Palais J",,,,,,,
malice in wonderland,,,Not All Pass,Completed,,Not Tracking,,6 Sales,,,,Not Film List,,Fantasy Adventure,Simon Fellows,,,,,04/20/2010,"Maggie Grace, Danny Dyer, National Parker",,No Print Coverage,,The classic 'Alice in Wonderland' on steroids - turned upside down and inside out.,US Release through Magnolia Summer 2010.,,,,,,,,,
"miffy, the movie",Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,,6 Sales,,,,Not Film List,,Animation/Pre School,Hans Perk,,,,,04/21/2010,,,No Print Coverage,,"Miffy and her friends set out on a treasure hunt through the zoo. While discovering animals that answer to the riddles, they learn how to work together and find creative ways to collaborate.",Promo available in Cannes.,,,,,,,,,
