Title,All Pass,Status,Screening,Tracking,Sub Date,Sales,Active,Sub By,Sub To,Film List,Type,Genre,Director,Budget,Writer,Read By,Producer,Last Updated,Cast,Script,Coverage,DVD,Logline,Notes,Festival,Screening,Priority I,Festival Wrap Up,Priority II,Bought By,Insert Coverage Text Here,Insert Script File Here,Insert Coverage File Here
40,,Complete,,,05/02/2010,6 Sales,,,,,,Drama,Emre Sahin,,,,,05/02/2010,"Ntare Guma, Mbaho Mwine, Ali Atay, Deniz Cakir",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,"Invitation Only!
Fri 14th - 12:00am@Palais K,
Mon 17th - 13:30@Gray 2",,,,,,,
Cold Skin,,Pre-Production,,,,6 Sales,,,,,,Psychological Horror,David Slade,$25 Mil.,Tim Wise,Steve Murphy,"Denise O'Dell, Mark Albela",04/21/2010,,,Coverage,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,###############################################################################################################################################################################################################################################################,,coldskin.doc
"Dancer and the Thief, The ",,Complete,,,,6 Sales,,,,,,Tragicomedy,Fernando Trueba,,"Jonas Trueba, Fernando Trueba",,Cristina Huete,04/21/2010,"Ricardo Darin, Abel Ayala, Miranda Bodenhofer, Ariadna Gil",,,,###############################################################################################################################################################################################################################################################,AKA title Victoria's Dance. ,Cannes 2010,,,,,,,,
Dancing Arabs,,Pre-Production,,,,6 Sales,,,,,,Drama Adaptation,Katia Lnd,$5 Mil.,Sayed Kashua,Steve Murphy,,04/21/2010,,,Coverage,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,###############################################################################################################################################################################################################################################################,,dancingarabs.doc
ExTerminators,,Complete,,,,6 Sales,,,,,,Comedy,John Inwood,,Suzanne Weinert,,,,"Heather Graham, Jennifer Coolidge, Amber Heard",,,,Three women start an exterminator business.,,,,,,,,,,
"happets, the",,Post Produciton,,,,6 Sales,,,,,,3D Family Animation,Alex Colls,,,,,04/21/2010,,,,,###############################################################################################################################################################################################################################################################,Promo available in Cannes 2010.,Cannes 2010,,,,,,,,
insolent frames,,Production,,,,6 Sales,,,,,,Documentary ,Chema de la Pena,,,,,04/21/2010,,,,,In 1968 Pedro arrives in Madrid. In 1980 he releases his first film. Discover the underground world of an artist with short interviews and footage that has never been seen and that Almodovar has agreed to show for the first time ever.,Promo Available in Cannes.,Cannes 2010,,,,,,,,
Locked In,,Complete,,,,6 Sales,,,,,,Psychological Thriller,Suri Krishnamma,$9 Mil.,Ronnie Christensen,,Michael Bassick,04/20/2010,"Ben Barnes, Sarah Roemer, Brenda Fricker, Eliza Dushku",,,,"After a devastating car accident leaves a young girl comatose, the girl’s father tries to understand how the accident occurred and faces his personal demons.",,Cannes 2010 ,"Thurs 13th - 16:00@Gray 1,
Sat 15th - 10:00@Gray1,
Sun 16th - 13:30@Palais J",,,,,,,
malice in wonderland,,Completed,,,,6 Sales,,,,,,Fantasy Adventure,Simon Fellows,,,,,04/20/2010,"Maggie Grace, Danny Dyer, National Parker",,,,"The classic ""Alice in Wonderland"" on steroids - turned upside down and inside out.",US Release through Magnolia Summer 2010.,,,,,,,,,
"miffy, the movie",,Pre-Production,,,,6 Sales,,,,,,Animation/Pre School,Hans Perk,,,,,04/21/2010,,,,,"Miffy and her friends set out on a treasure hunt through the zoo. While discovering animals that answer to the riddles, they learn how to work together and find creative ways to collaborate.",Promo available in Cannes.,Cannes 2010,,,,,,,,
Moses Taite's War,,Development,,,,6 Sales,,,,,,Western Drama,,,Stephen Clarke,,Denise O'Dell,,Morgan Freeman,,,,###############################################################################################################################################################################################################################################################,,,,,,,,,,
"Runway, The",,Post-Production,,,,6 Sales,,,,,,Family Comedy,Ian Power,$3 Mil.,Ian Power,,"Macdara Kelleher, Bernard Michaux, Brendan MacDonald",04/21/2010,"Demian Bichir, Kerry Condon, Jamie Kierans, John Carpenter, James Cosomo",,,,###############################################################################################################################################################################################################################################################,Promo avail in Cannes.,Cannes 2010,,,,,,,,
Above Suspicion,,Development,,,03/26/2010,Affinity International,,,,,,Thriller,Philip Noyce ,,Chris Gerolmo,,"Amy Adelson, Angela Amato, Colleen Camp, David Lancaster, Michel Litvak, Gary Michael Walters",,,,,,An FBI agent engages in an affair with an informer that threatens to destroy his career and marriage.,"Going before ""Blank Slate"", Contemporary Film. Casting Now",,,,,,,,,
Drive,,Pre-Production,,,04/27/2010,Affinity International,,,,,,Action,Nicolas Winding Refn,$25 Mil.,Hossein Amini,Steve Murphy,Marc Platt,04/27/2010,Ryan Gosling,Script,Coverage,,A stuntman moonlights as a wheelman during robberies and discovers that a contract has been put on him.,,Cannes 2010,,*B plus ,,,,###############################################################################################################################################################################################################################################################,DRIVE.pdf,
From Prada to Nada,,Post-Production,,,,Affinity International,,,,,,Comedy Romance,Fina Torres,,Fina Torres,,"Gigi Pritzker, Deborah Del Prete",05/05/2010,"Adriana Barraza, Camilla Belle, Alexa Vega, Kuno Becker, Wilmer Valderrama",,Coverage,,###############################################################################################################################################################################################################################################################,Footage by appointment only.,Cannes 2010,,,,,INDO: Queen,###############################################################################################################################################################################################################################################################,,
