"40","Post Production","Emre Sahin","Ntare Guma, Mbaho Mwine, Ali Atay, Deniz Cakir","Bizarre events unfold in Istanbul when two strangers are drawn togerther by fate.","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","6 Sales","Drama","","",""
"Cold Skin","Preproduction/25M","David Slade","TBA","A man heads to a deserted island to serve as watchman, but finds no trace of the man he was meant to replace. ","","BLX, FR, IT, SW, SCAN, LA ex Mx, INDO, PORT, UK, OZ","6 Sales","Psychological Horror","","",""
"ExTerminators","Complete","John Inwood","Heather Graham, Jennifer Coolidge, Amber Heard","Three women start an exterminator business","","FR, IT, SW, SCAN, LA, INDO, PORT","6 Sales","Comedy","","",""
"Dancer and the Thief, The aka Victoria's Dance","Complete","Fernando Trueba","Ricardo Darin, Abel Ayala, Miranda Bodenhofer, Ariadna Gil","Legendary bank robber Vergara Gray is getting out of prison after 5 long years and is looking forward to a quiet, uneventful life together with his wife and son. But soon his resolve is tested when he meets 19 year old Angel, a young thief who insists the two join up to score the biggest heist of all time.","","BLX, FR, IT, SW, SCAN, INDO, PORT, UK, OZ","6 Sales","Tragicomedy","EFM: Sat 13, 3 PM @ Marriott 2, Mon 15, 7:15 PM @ Marrtiott 3","",""
"Dancing Arabs","Pre Production","Katia Lnd","","Literary adaptation about a young man who pretends to be an israelia after he realizes how much better his life would be than as an arab","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","6 Sales","Drama ","","",""
"Locked In","","Suri Krishnamma","Ben Barnes, Sarah Roemer, Brenda Fricker, Eliza Dushku","After a devastating car accident leaves a young girl comatose, the girl’s father tries to understand how the accident occurred and faces his personal demons.","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, UK, OZ","6 Sales","Psychological Thriller","EFM: Sun 14, 6:40 PM @Cinestar 1 Mon 15 @ 10:45 PM @Cinemaxx 9","",""
"Moses Taite's War","Pre Production","","Morgan Freeman","Moses Taite's and his ranch hands head to India to bring back Brahma bulls ","","UPDATE? ","6 Sales","Western","","",""
"Runway, The","Post Production, promo avail","Ian Power","Demian Bichir, Kerry Condon, Jamie Kierans, John Carpenter, James Cosomo","The true story of a South American pilot who crashed his plane in rural Ireland in 1983. ","","BLX, FR, IT, SW, SCAN, LA ex Mx, INDO, PORT, UK, OZ","6 Sales","Family/Comedy","","",""
"From Prada to Nada","Footage to view by appointement only","Fina Torres(W/D)","Adriana Barraza, Camilla Belle, Alexa Vega, Kuno Becker, Wilmer Valderrama","Two spoiled sisters are left penniless after the suden death of their father. They live with their estranged Aunt in East LA. ","BLX 125FR 300IT 250SW 60kSCAN 150LA - copro in MEX - others 250k INDO queenPort- gone UK 400KOZ - 200K (they have offer)","BLX, FR, IT, SW, SCAN, LA, UK, OZ","Affinity","Comedy","","",""
"Great Ghost Rescue","Pre-Production – PP Starts April 8, 2010","Yann Samuell","Rene Russo, Jason Isaacs","A young ghost learns to accept himself after he and his family lose their home to human developers. (have to say that I think it is really fun. I also think that Yann Samueal is going to do a great job with this especially after seeing Love Me If You Dare. Would not recommend without seeing anything but i think this can be good  - SW)","FR 2MSW 125SCAN 600INDO 70kUK 3MOZ 800 K","FR, IT (?), SW, SCAN, INDO, UK, OZ","Affinity","Adventure/ Fantasy/ Family","","",""
